bowler,balls,econ,wickets,matches,balls_per_wicket
Rashid Khan,778,6.856041131105398,38,32,20.473684210526315
JJ Bumrah,714,7.277310924369747,36,30,19.833333333333332
R Ashwin,657,7.662100456621005,25,28,26.28
B Kumar,653,7.846860643185299,22,27,29.681818181818183
DL Chahar,651,7.428571428571429,32,29,20.34375
SP Narine,644,7.956521739130434,27,28,23.85185185185185
YS Chahal,622,7.871382636655948,30,28,20.733333333333334
DJ Bravo,601,9.164725457570714,25,28,24.04
RA Jadeja,579,7.05699481865285,26,30,22.26923076923077
UT Yadav,572,8.79020979020979,28,25,20.428571428571427
S Kaul,571,8.679509632224168,27,24,21.14814814814815
PP Chawla,563,8.930728241563056,23,28,24.47826086956522
JD Unadkat,546,10.065934065934066,21,26,26.0
HH Pandya,539,9.272727272727273,32,29,16.84375
KH Pandya,528,7.28409090909091,23,29,22.956521739130434
Imran Tahir,515,7.619417475728156,32,23,16.09375
J Archer,514,7.891050583657588,26,21,19.76923076923077
Kuldeep Yadav,514,8.474708171206226,21,25,24.476190476190474
AJ Tye,490,8.877551020408163,27,20,18.14814814814815
SN Thakur,486,9.246913580246915,24,22,20.25
S Gopal,477,7.522012578616353,31,24,15.387096774193548
A Mishra,469,6.972281449893391,22,21,21.318181818181817
AR Patel,465,7.729032258064516,13,22,35.76923076923077
Harbhajan Singh,462,7.753246753246753,23,23,20.08695652173913
